# Long Lat depth(km) Vs(km/s)
13.5 52 200 4.44773006439
14 52 200 4.42726993561
14.5 52 200 4.41347980499
15 52 200 4.41075992584
15.5 52 200 4.41360998154
16 52 200 4.42354011536
16.5 52 200 4.43922996521
17 52 200 4.4557299614
17.5 52 200 4.47375011444
18 52 200 4.49679994583
18.5 52 200 4.52097988129
19 52 200 4.54429006577
19.5 52 200 4.56825017929
20 52 200 4.59329986572
20.5 52 200 4.6116900444
21 52 200 4.62094020844
21.5 52 200 4.62863016129
22 52 200 4.63543987274
22.5 52 200 4.63987016678
23 52 200 4.64166021347
23.5 52 200 4.64342021942
24 52 200 4.64636993408
24.5 52 200 4.64803981781
25 52 200 4.64607000351
25.5 52 200 4.64238977432
26 52 200 4.63722991943
26.5 52 200 4.63089990616
27 52 200 4.62261009216
27.5 52 200 4.60954999924
28 52 200 4.59614992142
28.5 52 200 4.58544015884
29 52 200 4.57753992081
29.5 52 200 4.57471990585
30 52 200 4.57663011551
30.5 52 200 4.58297014236
31 52 200 4.5947098732
31.5 52 200 4.60577011108
32 52 200 4.61201000214
32.5 52 200 4.61414003372
33 52 200 4.61401987076
33.5 52 200 4.60714006424
34 52 200 4.5922999382
34.5 52 200 4.5792798996
35 52 200 4.57047986984
35.5 52 200 4.56513023376
36 52 200 4.56398010254
36.5 52 200 4.56885004044
37 52 200 4.57455015182
37.5 52 200 4.57684993744
38 52 200 4.57691001892
38.5 52 200 4.57750988007
39 52 200 4.57847976685
39.5 52 200 4.57774019241
40 52 200 4.57609987259
-10 51.5 200 4.46294021606
-9.5 51.5 200 4.46819019318
-9 51.5 200 4.47528982162
-8.5 51.5 200 4.48051023483
-8 51.5 200 4.48040008545
-7.5 51.5 200 4.47722005844
-7 51.5 200 4.47338008881
-6.5 51.5 200 4.46790981293
-6 51.5 200 4.46185016632
-5.5 51.5 200 4.45918989182
-5 51.5 200 4.46375989914
-4.5 51.5 200 4.47515010834
-4 51.5 200 4.48592996597
-3.5 51.5 200 4.49069023132
-3 51.5 200 4.49718999863
-2.5 51.5 200 4.50916004181
-2 51.5 200 4.53362989426
-1.5 51.5 200 4.56792020798
-1 51.5 200 4.59393978119
-0.5 51.5 200 4.60318994522
0 51.5 200 4.61251020432
0.5 51.5 200 4.62336015701
1 51.5 200 4.62984991074
1.5 51.5 200 4.62135982513
2 51.5 200 4.60538005829
2.5 51.5 200 4.58535003662
3 51.5 200 4.54660987854
3.5 51.5 200 4.49495983124
4 51.5 200 4.45565986633
4.5 51.5 200 4.43083000183
5 51.5 200 4.41301012039
5.5 51.5 200 4.41167020798
6 51.5 200 4.42797994614
6.5 51.5 200 4.4483499527
7 51.5 200 4.45363998413
7.5 51.5 200 4.43839979172
8 51.5 200 4.42653989792
8.5 51.5 200 4.42133998871
9 51.5 200 4.41896009445
9.5 51.5 200 4.41780996323
10 51.5 200 4.41253995895
10.5 51.5 200 4.40750980377
11 51.5 200 4.4072599411
11.5 51.5 200 4.41652011871
12 51.5 200 4.4301700592
12.5 51.5 200 4.43682003021
13 51.5 200 4.43653011322
13.5 51.5 200 4.42540979385
14 51.5 200 4.40672016144
14.5 51.5 200 4.39301013947
15 51.5 200 4.38821983337
15.5 51.5 200 4.39205980301
16 51.5 200 4.40055990219
16.5 51.5 200 4.40985012054
17 51.5 200 4.41952991486
17.5 51.5 200 4.43215990067
18 51.5 200 4.45043992996
18.5 51.5 200 4.46854019165
19 51.5 200 4.4896402359
19.5 51.5 200 4.51616001129
20 51.5 200 4.54194021225
20.5 51.5 200 4.56323003769
21 51.5 200 4.58410978317
21.5 51.5 200 4.60812997818
22 51.5 200 4.63045978546
22.5 51.5 200 4.64742994308
23 51.5 200 4.65741014481
23.5 51.5 200 4.66124010086
24 51.5 200 4.66174983978
24.5 51.5 200 4.65923976898
25 51.5 200 4.65562009811
25.5 51.5 200 4.65062999725
26 51.5 200 4.64326000214
26.5 51.5 200 4.63321018219
27 51.5 200 4.61937999725
27.5 51.5 200 4.60346984863
28 51.5 200 4.58959007263
28.5 51.5 200 4.5784702301
29 51.5 200 4.570789814
29.5 51.5 200 4.56721019745
30 51.5 200 4.57004976273
30.5 51.5 200 4.57781982422
31 51.5 200 4.58800983429
31.5 51.5 200 4.59491014481
32 51.5 200 4.59787988663
32.5 51.5 200 4.5982298851
33 51.5 200 4.59350013733
33.5 51.5 200 4.58261013031
34 51.5 200 4.5699801445
34.5 51.5 200 4.5579199791
35 51.5 200 4.54660987854
35.5 51.5 200 4.53942012787
36 51.5 200 4.54251003265
36.5 51.5 200 4.55116987228
37 51.5 200 4.55996990204
37.5 51.5 200 4.56634998322
38 51.5 200 4.57192993164
38.5 51.5 200 4.57419013977
39 51.5 200 4.57504987717
39.5 51.5 200 4.57375001907
40 51.5 200 4.57226991653
-10 51 200 4.45367002487
-9.5 51 200 4.46068000793
-9 51 200 4.46961021423
-8.5 51 200 4.47445011139
-8 51 200 4.47259998322
-7.5 51 200 4.46939992905
-7 51 200 4.46725988388
-6.5 51 200 4.46143007278
-6 51 200 4.45207977295
-5.5 51 200 4.44221019745
-5 51 200 4.43735980988
-4.5 51 200 4.44385004044
-4 51 200 4.45077991486
-3.5 51 200 4.45908021927
-3 51 200 4.47686004639
-2.5 51 200 4.50008010864
-2 51 200 4.53012990952
-1.5 51 200 4.56694984436
-1 51 200 4.59598016739
-0.5 51 200 4.60837984085
0 51 200 4.61771011353
0.5 51 200 4.62695980072
1 51 200 4.63088989258
1.5 51 200 4.6219201088
2 51 200 4.60637998581
2.5 51 200 4.58811998367
3 51 200 4.55066013336
3.5 51 200 4.50096988678
4 51 200 4.46260976791
4.5 51 200 4.4330701828
5 51 200 4.40807008743
5.5 51 200 4.39771986008
6 51 200 4.40383005142
6.5 51 200 4.41892004013
7 51 200 4.42358016968
7.5 51 200 4.4195599556
8 51 200 4.422560215
8.5 51 200 4.42528009415
9 51 200 4.41582012177
9.5 51 200 4.39891004562
10 51 200 4.37894010544
10.5 51 200 4.35864019394
11 51 200 4.3463101387
11.5 51 200 4.34753990173
12 51 200 4.3600897789
12.5 51 200 4.3800201416
13 51 200 4.39634990692
13.5 51 200 4.39814996719
14 51 200 4.38683986664
14.5 51 200 4.37122011185
15 51 200 4.35910987854
15.5 51 200 4.3551402092
16 51 200 4.36004018784
16.5 51 200 4.36643981934
17 51 200 4.37092018127
17.5 51 200 4.38263988495
18 51 200 4.40109014511
18.5 51 200 4.42115020752
19 51 200 4.44607019424
19.5 51 200 4.47412014008
20 51 200 4.49876022339
20.5 51 200 4.51908016205
21 51 200 4.54149007797
21.5 51 200 4.56963014603
22 51 200 4.60093021393
22.5 51 200 4.62584018707
